dataset,method,dim,ndcg@10,n_queries,recall@10,recall@100
webis-touche2020,pca_ood,512,0.2376608355807473,49,0.160575879792874,0.46955005160793095
webis-touche2020,pca_ood,256,0.23804267547350644,49,0.16397963889891398,0.4680792504569049
webis-touche2020,pca_ood,128,0.23032694389443037,49,0.15603283184408845,0.45542563074660886
webis-touche2020,pca_ood,64,0.20897953528773347,49,0.1358828673618258,0.4257120199173958
webis-touche2020,pca_ood,32,0.16543419704283419,49,0.1019304018960117,0.344162495804697
quora,full,1536,0.8879839723334623,10000,0.958461876870874,0.9959613744994266
quora,mrl,512,0.8861596708214654,10000,0.9574699148910611,0.9956916492809421
quora,mrl,256,0.8824310817581535,10000,0.9542882310763092,0.9950996927603908
quora,mrl,128,0.8742701258010569,10000,0.9488844122832881,0.9933205668966392
quora,mrl,64,0.8556321770009258,10000,0.9326908191514671,0.9863910484289492
quora,mrl,32,0.7893797301842039,10000,0.8702319316252138,0.9529319301132917
quora,pca_in,512,0.8856913720198083,10000,0.958351647522608,0.9956087650126406
quora,pca_in,256,0.8785236379527178,10000,0.9529690352994544,0.9950830683801901
quora,pca_in,128,0.8645005460949942,10000,0.9434919123546897,0.9932975628494473
quora,pca_in,64,0.8289213202376188,10000,0.9154429352993482,0.9854601368045611
quora,pca_in,32,0.7556919586789634,10000,0.8483147096023181,0.9553449448651501
quora,pca_ood,512,0.8863283306070582,10000,0.9573962696920043,0.9954768665311226
quora,pca_ood,256,0.881469512606987,10000,0.9544406244944664,0.9950394203031596
quora,pca_ood,128,0.8724867625429941,10000,0.9472102713243534,0.9935746029455947
quora,pca_ood,64,0.8561413240734995,10000,0.9344832577514717,0.9896668432172517
quora,pca_ood,32,0.8193437176707946,10000,0.9034081982129728,0.9763772081456679
